grupo, algorithm, heuristic, domain, instance, cost, h0, generated, time, gen_per_sec
X, ida, gap, pancake28.txt, "27 13 21 26 14 11 16 2 7 9 4 10 8 25 6 24 17 20 15 22 23 12 5 3 19 18 1 0", 25, 25, 1773, 0.000137, 1.29416e+07
X, ida, gap, pancake28.txt, "1 11 21 14 16 17 27 18 19 9 8 12 6 25 0 15 5 13 20 26 3 4 24 22 10 7 2 23", 25, 24, 34731, 0.002928, 1.18617e+07
X, ida, gap, pancake28.txt, "13 27 7 16 24 25 8 12 0 26 22 14 2 15 4 23 9 21 19 18 1 17 20 6 5 3 10 11", 24, 24, 2176, 0.000163, 1.33497e+07
X, ida, gap, pancake28.txt, "16 11 8 9 12 10 18 24 5 20 22 0 15 19 1 17 3 13 21 6 7 4 26 23 2 14 25 27", 25, 25, 9418, 0.00073, 1.29014e+07
X, ida, gap, pancake28.txt, "7 16 13 3 22 6 5 19 24 11 8 25 21 14 4 9 1 10 17 20 15 23 27 2 12 26 18 0", 28, 27, 169954, 0.01284, 1.32363e+07
X, ida, gap, pancake28.txt, "11 0 7 2 1 3 25 4 20 16 12 17 26 19 5 13 10 9 21 14 18 8 23 27 22 15 6 24", 27, 26, 91326, 0.006853, 1.33264e+07
X, ida, gap, pancake28.txt, "4 22 23 2 14 6 20 18 27 21 3 15 16 17 1 12 10 24 11 13 5 9 19 25 26 7 0 8", 26, 24, 1174529, 0.086467, 1.35836e+07
X, ida, gap, pancake28.txt, "7 5 27 2 22 16 25 26 13 23 3 17 15 21 12 24 10 9 14 19 1 4 8 0 18 20 6 11", 27, 26, 79062, 0.005878, 1.34505e+07
X, ida, gap, pancake28.txt, "19 27 21 25 12 11 5 20 9 14 6 2 1 26 16 8 22 7 18 15 0 24 10 13 3 4 23 17", 26, 25, 795485, 0.058337, 1.3636e+07
X, ida, gap, pancake28.txt, "4 24 26 18 23 7 2 3 6 0 12 8 15 25 21 17 5 1 13 22 16 10 20 27 11 14 9 19", 28, 27, 55925, 0.009661, 5.78874e+06
X, ida, gap, pancake28.txt, "19 5 0 15 13 18 17 27 20 4 1 21 26 11 24 23 10 3 8 16 25 22 14 12 2 7 9 6", 27, 26, 152757, 0.022227, 6.87259e+06
X, ida, gap, pancake28.txt, "24 14 2 0 18 6 25 22 7 5 10 12 16 1 11 20 19 8 4 13 21 23 27 3 15 17 26 9", 28, 27, 1241072, 0.122117, 1.0163e+07
X, ida, gap, pancake28.txt, "8 13 27 2 3 10 0 26 15 18 21 12 4 6 17 14 16 23 24 7 9 25 1 11 20 19 5 22", 26, 25, 683091, 0.083528, 8.17799e+06
X, ida, gap, pancake28.txt, "17 13 10 15 23 3 9 12 0 25 18 6 14 27 22 21 20 19 7 2 5 24 4 8 26 1 16 11", 25, 25, 283, 6.2e-05, 4.56452e+06
X, ida, gap, pancake28.txt, "19 6 1 22 25 21 8 5 27 12 24 3 7 23 17 10 9 4 11 14 0 26 15 18 20 13 2 16", 28, 27, 44939, 0.007598, 5.91458e+06
X, ida, gap, pancake28.txt, "24 6 5 2 18 4 23 15 22 14 11 27 26 17 10 20 16 3 8 13 7 1 21 19 25 12 0 9", 27, 26, 63876, 0.005943, 1.07481e+07
X, ida, gap, pancake28.txt, "25 26 0 27 6 3 18 15 16 4 8 17 23 1 9 5 21 2 19 12 11 7 10 20 13 14 24 22", 25, 24, 83881, 0.007616, 1.10138e+07
